total_loss,reconstruction_loss,kl_divergence,regression_loss
0.7038764572531615,0.4080229239556396,29944.47420530902,0.2958535337740867
0.4723083015035589,0.25608839491208846,51428.09599341671,0.21621987381912788
0.417416747725398,0.23849387366488484,72851.82369561144,0.1789227374651172
0.39204162076702803,0.22763055799553422,81714.05460272702,0.16441064538579883
8.017827218937779,0.22046264024001405,301483.03862078814,7.797360257378038
1.0486973735484173,0.21464613709771108,7381379.76312587,0.8337725806345196
0.8439821005718562,0.21005088807445876,139990.701721784,0.6339168486290152
0.7172686157908731,0.20606508629789086,516639.9425439927,0.5110594126954887
3.8385948728214734,0.20306918440309,2257393.4580730656,3.63381412444899
0.690393289043725,0.19981203392054406,148105.12767146452,0.4902759874840589
0.5719921198625145,0.19741919778844821,149251.06909779232,0.3737366980804436
0.6264534480465541,0.19508880223634242,181436.43756692603,0.4286013720190096
0.4686375398386689,0.1930734877549601,148168.24434140313,0.2694299787044661
2.9256521718015946,0.1911919550732978,1667137.9027464218,2.546848586062102
68.45437064795819,0.1894715269979649,1238766.7018244038,67.88595568643578
1.195110194993523,0.18800524585183043,156222.5005108688,0.8772015583167956
1.1498971738385038,0.18642115946125126,84761.72013313821,0.7718870466705869
1.2098129668418236,0.18515136158854398,50321.2964489042,0.7154787719453968
1.0936817921004522,0.18382967845124562,18768.25685099586,0.5963955306448574
1.0279832252906023,0.18270072753704458,7807.983885394172,0.49081667401598633
0.9185146258123802,0.1814692078199746,2804.662323712622,0.39096528689123305
0.90892838378214,0.1804905199344195,1174.4922877234912,0.33457171302533434
0.897486306578006,0.17949333309548574,428.4381486379644,0.3276638954894874
1.0514858129159306,0.17855845711729582,201.27008945393194,0.3752622523524297
1.5321376184134534,0.17769168875579627,109.56093877087586,0.621170893354051
2.264731820483401,0.1768111955908487,43.2226528638026,1.3105089119132896
